MBL-TEXT
StartTime, 2025/01/07, 14/44/00
SamplingRate,500

EVENT, ECG,
0000,-209.065,
0000,-176.255,
0000,-152.754,
0000,-149.397,
0000,-254.082,
0000,-218.526,
0000,-204.181,
0000,-202.960,
0000,-203.113,
0000,-292.385,
0000,-310.850,
0000,-256.524,
0000,-191.210,
0000,-223.714,
0000,-301.694,
0000,-306.272,
0000,-273.157,
0000,-202.503,
0000,-243.247,
0000,-381.505,
0000,-345.491,
0000,-282.313,
0000,-241.264,
0000,-271.784,
0000,-363.803,
0000,-341.676,
0000,-297.268,
0000,-231.497,
0000,-185.259,
0000,-289.028,
0000,-294.522,
0000,-269.342,
0000,-173.661,
0000,-159.927,
0000,-272.089,
0000,-265.680,
0000,-213.032,
0000,-189.226,
0000,-158.706,
0000,-226.614,
0000,-220.968,
0000,-182.817,
0000,-169.693,
0000,-130.169,
0000,-146.803,
0000,-158.553,
